story_id,culture,precision,recall,f1,events_original,events_llm
g01,german,0.3493975903614458,0.3815789473684211,0.36477987421383645,76,83
g02,german,0.16666666666666666,0.09090909090909091,0.11764705882352942,132,72
g03,german,0.041666666666666664,0.02,0.02702702702702703,100,48
g04,german,0.3018867924528302,0.42105263157894735,0.3516483516483517,38,53
g05,german,0.2926829268292683,0.27906976744186046,0.2857142857142857,43,41
g06,german,0.25,0.23076923076923078,0.24000000000000002,52,48
g07,german,0.9864864864864865,0.6239316239316239,0.7643979057591623,117,74
g08,german,0.2,0.18333333333333332,0.19130434782608696,60,55
g09,german,0.29411764705882354,0.3333333333333333,0.3125,75,85
g10,german,0.4393939393939394,0.30526315789473685,0.3602484472049689,95,66
n01,native american,0.0,0.0,0.0,20,15
n02,native american,0.0,0.0,0.0,30,20
n03,native american,0.5102040816326531,0.32051282051282054,0.3937007874015748,78,49
n04,native american,0.0,0.0,0.0,67,27
n05,native american,0.041666666666666664,0.01680672268907563,0.02395209580838323,119,48
n06,native american,0.02631578947368421,0.011627906976744186,0.016129032258064516,86,38
n07,native american,0.13333333333333333,0.07142857142857142,0.09302325581395349,84,45
n08,native american,0.0,0.0,0.0,59,39
n09,native american,0.32786885245901637,0.3448275862068966,0.33613445378151263,58,61
n10,native american,0.013333333333333334,0.00819672131147541,0.010152284263959392,122,75
p01,persian,0.06666666666666667,0.06666666666666667,0.06666666666666667,15,15
p02,persian,0.34782608695652173,0.3404255319148936,0.3440860215053763,47,46
p03,persian,0.38181818181818183,0.17647058823529413,0.24137931034482757,119,55
p04,persian,0.1111111111111111,0.13043478260869565,0.12,23,27
p05,persian,0.3333333333333333,0.36,0.34615384615384615,25,27
p06,persian,0.6346153846153846,0.4782608695652174,0.5454545454545455,69,52
p07,persian,0.40816326530612246,0.38461538461538464,0.39603960396039606,52,49
p08,persian,0.8363636363636363,0.10222222222222223,0.1821782178217822,450,55
p09,persian,0.532258064516129,0.11785714285714285,0.19298245614035084,280,62
p10,persian,0.4931506849315068,0.1348314606741573,0.2117647058823529,267,73
