story_id,culture,precision,recall,f1,events_original,events_llm
g01,german,0.4649122807017544,0.6973684210526315,0.5578947368421052,76,114
g02,german,0.6062992125984252,0.5833333333333334,0.5945945945945946,132,127
g03,german,0.5632183908045977,0.49,0.5240641711229945,100,87
g04,german,0.5555555555555556,0.7894736842105263,0.6521739130434783,38,54
g05,german,0.41509433962264153,0.5116279069767442,0.45833333333333337,43,53
g06,german,0.39215686274509803,0.38461538461538464,0.38834951456310685,52,51
g07,german,0.7477477477477478,0.7094017094017094,0.7280701754385965,117,111
g08,german,0.5671641791044776,0.6333333333333333,0.5984251968503937,60,67
g09,german,0.36231884057971014,0.3333333333333333,0.3472222222222222,75,69
g10,german,0.5221238938053098,0.6210526315789474,0.5673076923076923,95,113
n01,native american,0.5789473684210527,0.55,0.5641025641025641,20,19
n02,native american,0.41935483870967744,0.43333333333333335,0.4262295081967213,30,31
n03,native american,0.8392857142857143,0.6025641025641025,0.7014925373134329,78,56
n04,native american,0.7777777777777778,0.6268656716417911,0.694214876033058,67,54
n05,native american,0.37383177570093457,0.33613445378151263,0.3539823008849558,119,107
n06,native american,0.4146341463414634,0.3953488372093023,0.40476190476190477,86,82
n07,native american,0.5128205128205128,0.47619047619047616,0.49382716049382713,84,78
n08,native american,0.4142857142857143,0.4915254237288136,0.4496124031007752,59,70
n09,native american,0.4090909090909091,0.46551724137931033,0.43548387096774194,58,66
n10,native american,0.4854368932038835,0.4098360655737705,0.4444444444444445,122,103
p01,persian,0.5,0.5333333333333333,0.5161290322580646,15,16
p02,persian,0.3888888888888889,0.44680851063829785,0.4158415841584158,47,54
p03,persian,0.4051724137931034,0.3949579831932773,0.4,119,116
p04,persian,0.2857142857142857,0.34782608695652173,0.3137254901960784,23,28
p05,persian,0.5384615384615384,0.56,0.5490196078431373,25,26
p06,persian,0.7049180327868853,0.6231884057971014,0.6615384615384615,69,61
p07,persian,0.65,0.75,0.6964285714285715,52,60
p08,persian,0.9736842105263158,0.3288888888888889,0.49169435215946844,450,152
p09,persian,0.4840182648401826,0.37857142857142856,0.42484969939879763,280,219
p10,persian,0.4954954954954955,0.20599250936329588,0.291005291005291,267,111
